epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.299,2.70902,2.28861,1.13911,0.85377,0.1748,0.17356,0.07417,1.82726,2.06586,1.02226,0.000465508,0.000465508,0.000465508
2,370.182,2.54257,1.77425,1.07145,0.8238,0.15838,0.14804,0.05888,1.99581,1.71109,1.09244,0.00091076,0.00091076,0.00091076
3,580.39,2.71277,1.77479,1.06905,0.54949,0.1777,0.1563,0.06688,2.12605,2.56894,1.14664,0.00132457,0.00132457,0.00132457
4,777.633,2.64484,1.96805,1.09203,0.84682,0.19281,0.17749,0.07607,2.01306,1.83476,1.09259,0.00128753,0.00128753,0.00128753
5,981.626,2.62044,2.07875,1.12116,0.82845,0.14171,0.16186,0.05631,2.21444,1.65602,1.12561,0.00124037,0.00124037,0.00124037
6,1175.97,2.55047,1.70531,1.07313,0.85081,0.13491,0.15693,0.06546,2.07866,2.01301,1.1461,0.00119322,0.00119322,0.00119322
7,1364.57,2.50718,1.63088,1.08141,0.80341,0.0847,0.07612,0.03772,2.32642,1.70078,1.30085,0.00114606,0.00114606,0.00114606
8,1550.47,2.51631,1.51252,1.0233,0.86839,0.18579,0.19478,0.08404,2.04735,1.40716,1.12521,0.0010989,0.0010989,0.0010989
9,1739.77,2.49691,1.47569,1.03587,0.88952,0.18739,0.22832,0.09607,1.99359,1.31911,1.13946,0.00105174,0.00105174,0.00105174
10,1929.26,2.47112,1.48986,1.0391,0.66473,0.2318,0.22891,0.09721,2.01368,1.31568,1.11048,0.00100459,0.00100459,0.00100459
11,2114.51,2.39587,1.44099,1.00426,0.6003,0.24213,0.22319,0.10383,1.91398,1.29429,1.11015,0.00095743,0.00095743,0.00095743
12,2304.64,2.44067,1.45865,1.03379,0.89144,0.12842,0.17101,0.07111,2.2674,1.55337,1.20894,0.000910273,0.000910273,0.000910273
13,2494.27,2.46938,1.4635,1.02715,0.62142,0.27069,0.22177,0.09419,2.00553,1.37936,1.13547,0.000863116,0.000863116,0.000863116
14,2682.65,2.45155,1.45232,1.01257,0.66189,0.17082,0.23076,0.10806,1.87284,1.28334,1.09655,0.000815959,0.000815959,0.000815959
15,2870.75,2.46516,1.38037,0.99255,0.62517,0.29943,0.26519,0.12575,1.81759,1.16241,1.09714,0.000768802,0.000768802,0.000768802
16,3055.72,2.28133,1.33406,0.9941,0.57852,0.25147,0.23355,0.11025,1.83242,1.17487,1.08303,0.000721645,0.000721645,0.000721645
17,3246.42,2.19115,1.26533,1.01689,0.71875,0.25552,0.25324,0.12027,1.78204,1.14237,1.05709,0.000674488,0.000674488,0.000674488
18,3434.94,2.37807,1.28146,0.97241,0.86948,0.20091,0.25013,0.11668,1.79579,1.12641,1.05975,0.000627331,0.000627331,0.000627331
19,3619.61,2.22993,1.24405,0.99697,0.66568,0.246,0.26427,0.11496,1.85792,1.1236,1.09057,0.000580174,0.000580174,0.000580174
20,3805.94,2.14557,1.22353,0.98454,0.62224,0.27268,0.26429,0.12359,1.79843,1.11975,1.0712,0.000533017,0.000533017,0.000533017
21,3987.85,2.19362,1.28782,1.01285,0.57615,0.30895,0.2583,0.11424,1.86416,1.1284,1.12183,0.00048586,0.00048586,0.00048586
22,4184.65,2.21719,1.30148,1.00099,0.6258,0.22546,0.23998,0.1159,1.84481,1.1326,1.10102,0.000438703,0.000438703,0.000438703
23,4370.39,2.13145,1.23602,0.99321,0.70731,0.2199,0.24669,0.11599,1.83235,1.16699,1.08457,0.000391546,0.000391546,0.000391546
24,4554.04,2.24245,1.36398,0.99837,0.75058,0.19955,0.23386,0.10809,1.84753,1.17785,1.07328,0.000344389,0.000344389,0.000344389
25,4741.41,2.05956,1.2168,0.98729,0.7159,0.23781,0.25722,0.11954,1.80203,1.11451,1.05814,0.000297232,0.000297232,0.000297232
26,4925.18,2.12839,1.20025,0.98132,0.6322,0.25562,0.25417,0.12875,1.8127,1.09967,1.06243,0.000250075,0.000250075,0.000250075
27,5106.03,2.13409,1.19009,0.97357,0.68886,0.24884,0.27509,0.13321,1.7659,1.10069,1.03056,0.000202918,0.000202918,0.000202918
28,5286.82,2.11838,1.1662,0.97428,0.7166,0.24054,0.27534,0.1309,1.78922,1.11398,1.04088,0.000155761,0.000155761,0.000155761
29,5468.76,2.09036,1.19056,0.97885,0.69792,0.25693,0.27749,0.1274,1.79195,1.11556,1.04519,0.000108604,0.000108604,0.000108604
30,5652.5,2.07015,1.14564,0.95962,0.7362,0.26817,0.28102,0.13175,1.78576,1.09208,1.05576,6.1447e-05,6.1447e-05,6.1447e-05
